expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,acting_card,opposing_card,acting_energy,opposing_energy,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,target_probability_total,conditional_quick_attack_share,conditional_ascension_share,quick_attack_score_advantage,ascension_score_advantage,score_tie,energy_difference,score_margin_strength,global_top_feature,global_top_feature_importance,legal_signature_feature_flag
4WE_PAIR_002_V03,4WE_PAIR_002_V03__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.708,0.194,0.514,0.9019999999999999,0.7849223946784922,0.2150776053215078,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_002_V04,4WE_PAIR_002_V04__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.712,0.188,0.524,0.8999999999999999,0.7911111111111111,0.2088888888888889,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_002_V04,4WE_PAIR_002_V04__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.714,0.186,0.528,0.8999999999999999,0.7933333333333333,0.2066666666666667,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V01,4WE_PAIR_003_V01__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.714,0.186,0.528,0.8999999999999999,0.7933333333333333,0.2066666666666667,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V01,4WE_PAIR_003_V01__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.716,0.184,0.532,0.8999999999999999,0.7955555555555556,0.20444444444444446,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V02,4WE_PAIR_003_V02__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.708,0.194,0.514,0.9019999999999999,0.7849223946784922,0.2150776053215078,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V02,4WE_PAIR_003_V02__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.71,0.192,0.518,0.9019999999999999,0.787139689578714,0.21286031042128606,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V03,4WE_PAIR_003_V03__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.708,0.194,0.514,0.9019999999999999,0.7849223946784922,0.2150776053215078,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V03,4WE_PAIR_003_V03__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.71,0.192,0.518,0.9019999999999999,0.787139689578714,0.21286031042128606,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_003_V04,4WE_PAIR_003_V04__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.714,0.186,0.528,0.8999999999999999,0.7933333333333333,0.2066666666666667,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
