expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,expansion_variant_id,evaluation_batch_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,expected_legal_moves,runtime_legal_moves,legal_move_sets_match,selected_move,selected_move_is_legal,selected_probability,prediction_confidence,routing_reason,raw_predicted_action,fallback_used,policy_history_record_available,acting_card_match,opposing_card_match,acting_energy_match,opposing_energy_match,case_execution_success,error_type,error_message
4WE_PAIR_002_V03,4WE_PAIR_002_V03__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.84,0.84,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_002_V04,4WE_PAIR_002_V04__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_002_V04,4WE_PAIR_002_V04__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V01,4WE_PAIR_003_V01__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V01,4WE_PAIR_003_V01__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.87,0.87,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V02,4WE_PAIR_003_V02__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.84,0.84,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V02,4WE_PAIR_003_V02__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.842,0.842,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V03,4WE_PAIR_003_V03__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.84,0.84,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V03,4WE_PAIR_003_V03__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.842,0.842,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V04,4WE_PAIR_003_V04__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_003_V04,4WE_PAIR_003_V04__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.87,0.87,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V01,4WE_PAIR_004_V01__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.87,0.87,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V01,4WE_PAIR_004_V01__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.872,0.872,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V02,4WE_PAIR_004_V02__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.842,0.842,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V02,4WE_PAIR_004_V02__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.844,0.844,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V03,4WE_PAIR_004_V03__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.842,0.842,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V03,4WE_PAIR_004_V03__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.844,0.844,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V04,4WE_PAIR_004_V04__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.87,0.87,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_004_V04,4WE_PAIR_004_V04__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.872,0.872,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_005_V01,4WE_PAIR_005_V01__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.976,0.976,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_005_V01,4WE_PAIR_005_V01__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.978,0.978,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_005_V02,4WE_PAIR_005_V02__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,40.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.918,0.918,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_005_V02,4WE_PAIR_005_V02__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,40.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.926,0.926,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
